𨝲: gāo hào
𨝳: zī
𨝴: huáng
𨝵: shān
𨝸: tán
𨞌: tuō
𨞎: lìng
𨞐: chéng
𨞑: wèng
𨞒: zuó
𨞓: yù
𨞕: zhú chù
𨞗: qún
𨞘: xǐ
𨞙: qú
𨞛: gé
𨞢: qī
𨞣: xū
𨞨: gài
𨞩: què
𨞪: chóu shòu
𨞫: méng
𨞲: shēn
𨞳: qú
𨞶: qiāo
𨞷: cán
𨞺: lì
𨞼: wàn
𨞽: léi
𨞾: xīng
𨞿: láng
𨟂: shì
𨟃: zhēng
𨟄: fán
𨟊: zhì
𨟏: yín
𨟑: lì
𨟖: mó
𨟗: wěi
𨟙: yīng
𨟚: ráng
𨟠: quān què jué
𨟥: luǒ
𨟲: dài
𨟴: yìn
𨟵: bǐ
𨟶: gē
𨟸: wèn
𨟹: yǎn
𨟺: miǎn
𨟼: gǎng
𨟽: qiú
𨟾: zhī
𨠋: gū
𨠌: tóng
𨠎: líng
𨠏: tí
𨠐: cí
𨠑: yí tuó
𨠒: fàn
𨠓: pō
𨠔: bì
𨠖: bào
𨠟: pēng
𨠡: suān
𨠤: sōng nóng
𨠥: wéi
𨠦: xiáo
𨠬: hào
𨠭: yǎn
𨠶: yí
𨠷: zāo
𨠸: yǐng
𨠹: nǎn
𨠿: zā
𨡁: tiǎn
𨡂: xī
𨡃: jiào
𨡄: yán
𨡌: néi
𨡍: tǎn
𨡎: yàn
𨡏: tiǎn
𨡐: zhì
𨡑: chōu chóu
𨡒: táo
𨡗: zhà
𨡞: miǎn
𨡡: wǔ
𨡢: yǐn
𨡣: yàn
𨡤: lǎo
𨡩: pō
𨡫: hùn
𨡬: hǎi
𨡭: mú
𨡮: cōng
𨡱: kù dǐng
𨡲: chōu
𨡴: yǒu
𨡸: zhuó
𨡻: sōu
𨢂: yìn
𨢅: zuì
𨢆: sāng
𨢇: liù
𨢈: hàn
𨢉: wèi
𨢊: méng
𨢋: hú
𨢌: lì
𨢎: mì yīn
𨢐: bāng
𨢑: jiǎn
𨢜: què
𨢠: méng
𨢢: mú
𨢣: hǒng
𨢤: hù
𨢥: mí
𨢦: shài zhà
𨢩: shāng
𨢪: chào
𨢬: zhuó tú
𨢮: zhī
𨢯: niàn
𨢵: jì
𨢸: kē
𨢹: zhēng
𨢿: dān
𨣀: liǎo
𨣁: zhǎn
𨣂: gǒng
𨣃: láo lào
𨣄: huā
𨣅: chuài
𨣇: jiǎn
𨣈: kuì
𨣍: shē
𨣔: chěn
𨣕: tǎn
𨣗: hú
𨣘: méng
𨣙: pào
𨣚: zhǎn
𨣛: cháng
𨣝: gǎn jiǎn
𨣠: yì
𨣢: suì
𨣦: xù
𨣧: jì
𨣨: làn
𨣬: yí
𨣯: mì
𨣱: miè
𨣵: cuán
𨣸: lǎn
𨣻: yān yǎn
𨣾: mí
𨤂: yǒng
𨤃: cáng zā
𨤄: jiǎn
𨤇: sōu zāo
𨤎: yán
𨤑: juàn
𨤕: è
𨤘: fèn
𨤚: fèn
𨤡: guàng
𨤢: mái
𨤤: liě
𨤩: chōng
𨤫: lí
𨤱: zhí
𨤴: xiè
𨤷: chóu
𨤹: jí
𨤽: pī
𨥂: jié
𨥇: zhǒu zhù
𨥍: xiōng
𨥑: kuàng gǒng
𨥙: jǐng
𨥛: hù
𨥞: qián
𨥣: cén
𨥦: qí
𨥧: wǎn fàn biān
𨥨: máo
𨥪: dǒu
𨥴: kǒu
𨥶: dài
𨥸: náo
𨥺: hóng
𨦂: lǎi
𨦃: duǒ duò
𨦄: qiān
𨦆: yín
𨦖: lòu
𨦗: huī
𨦛: fù
𨦜: máo
𨦞: zhōu
𨦡: yóng yáng
𨦭: láo
𨦮: jí
𨦯: yì
𨦰: liú
𨦱: cōng
𨦳: nǎn
𨧀: dù
𨧐: tūn
𨧑: xiàng
𨧕: biàn
𨧖: chuáng
𨧗: wù
𨧙: jū
𨧥: xiē
𨧦: pī
𨧧: zhuó
𨧨: ruì zhuì
𨧪: sào
𨧫: zì
𨧭: zhèng
𨧰: zú
𨧱: qū
𨧳: chì
𨧵: zhì
𨨏: bō
𨨗: quàn
𨨘: qiān
𨨙: yā
𨨚: chào
𨨛: hé
𨨜: rǔ
𨨠: jū
𨨡: wù
𨨬: chì
𨨭: kuàng gǒng
𨨯: còu zhòu
𨨰: ruàn
𨨱: kuò
𨨲: chí
𨨳: zú
𨨴: jiāo
𨨶: yú
𨨷: tú
𨨸: méng
𨨹: dā
𨨺: shuò xuē
𨩥: fēng
𨩦: gǒu
𨩧: dōng
𨩨: chǎ
𨩩: mào
𨩪: chǎn
𨩫: biān
𨩬: yù
𨩯: wán
𨩰: zú
𨩲: zī
𨩴: chuān
𨩵: wǎn
𨩶: wā
𨩸: quān juān
𨩻: wǎn
𨩽: xià
𨪄: yìng
𨪅: jiàn
𨪈: wěi
𨪉: tí
𨪊: sāo
𨪌: qí
𨪍: shā
𨪎: yù
𨪏: jí
𨪐: dòu tōu
𨪑: chǎn
𨪒: tuán
𨪕: liú
𨪗: zhuì
𨪳: ruàn
𨪶: yàn
𨪷: gǔ
𨪹: lì
𨪺: chā
𨪾: dì
𨪿: liú
𨫀: zhǎn
𨫁: pō
𨫒: lòu
𨫔: zhì xiè
𨬁: lián
𨬅: luǒ
𨬍: duò duì
𨬐: jué
𨬑: lì
𨬒: lán
𨬔: ruàn
𨬕: gū
𨬖: chán
𨬗: xū
𨬚: zhǐ
𨭁: xuè
𨭂: bō
𨭃: chēng
𨭅: zhù
𨭆: hēi
𨭉: bān
𨭎: xǐ
𨭓: dié
𨭖: zhǎn
𨭗: guó
𨭚: biāo
𨭛: là gě
𨭺: jīn
𨮂: gǎi
𨮒: mèng
𨮔: yù
𨮪: xǐ
𨮬: piāo
𨮭: sī
𨮴: dèng
𨮸: chuō
𨮹: dí
𨮺: jī
𨮻: chán
𨮿: zhuó
𨯓: cài
𨯞: jiàng
𨯲: tóu
𨯽: lí
𨰂: qiàn
𨰆: chuō
𨰏: tà
𨰑: diào
𨰓: jiǎn
𨰛: zhǐ
𨰜: jué
𨰞: mó
𨰠: luó
𨰦: bǎo
𨰭: zuǎn
𨰵: zhē
𨰸: yú
𨰻: bǎo
𨰾: mǎ
𨰿: xì
𨱀: hù
𨱁: yì
𨱂: é
𨱃: gū
𨱄: tú
𨱅: zhēn
𨱇: qiú
𨱈: sù
𨱉: liàng
𨱊: qū
𨱋: líng
𨱌: guàn
𨱍: láng
𨱎: tōu
𨱏: dā
𨱐: lòu
𨱑: huáng
𨱒: shòu
𨱓: jiāo
𨱔: zūn
𨱕: gǎi
𨱖: wéi
𨱙: kūn
𨱚: duàn
𨱛: sōng
𨱜: qí
𨱝: yǎng
𨱡: shì
𨱣: gǎi
𨱦: dào
𨱧: yǎo ǎo
𨱫: qián
𨱭: shāo
𨱮: cháng
𨱯: miǔ
𨱱: mó
𨱵: nǎo
𨱸: cōng
𨱺: niè
𨱻: zhāo
𨱼: cén
𨱿: sōng
𨲀: niè
𨲁: cì
𨲄: jùn
𨲆: shāo
𨲈: zhú
𨲉: duǒ tuǒ shèng
𨲊: àn
𨲋: bī
𨲎: tì
𨲐: pǐ
𨲑: xiá
𨲒: qiú
𨲓: shěng
𨲗: tāng
𨲛: mán mián
𨲜: piān
𨲞: tì
𨲟: róng
𨲧: cōng
𨲪: jī
𨲫: féng
𨲬: wù
𨲭: jiào
𨲮: láo
𨲯: zēng
𨲰: péng
𨲱: cǎn
𨲳: nóng
𨲵: chǎn
𨲾: mán mián
𨲿: guì
𨳀: niào
𨳁: chōng
𨳂: chàn
𨳆: nàng
𨳉: xiā
𨳊: jiū
𨳋: jǐ
𨳌: zhèn
𨳑: tǐng
𨳔: mén
𨳕: yuè
𨳗: zhōng
𨳘: tún
𨳙: ruì
𨳚: xiè fēn
𨳛: xī
𨳝: tǐng rùn
𨳞: niǔ
𨳠: wǎng
𨳡: jiān guān
𨳣: fēn
𨳲: biàn bì
𨳷: yí
𨳺: dié
𨳻: jī
𨳼: gǎn
𨳿: jiān xì mǎ
𨴀: jiōng
𨴆: kāi
𨴊: què guān
𨴌: nán
𨴍: móu
𨴎: xù
𨴏: sǒng
𨴐: shèn
𨴑: kuāng
𨴒: què
𨴓: wéi
𨴗: dié
𨴘: nán
𨴚: ruò
𨴛: gōng
𨴜: dòu yòu
𨴞: niǎn
𨴡: chāo
𨴢: hé
𨴣: yàn
𨴩: tú
𨴪: bǔ
