𥭥: chōng
𥭫: mí
𥭬: féi
𥭭: cuō
𥭮: méng
𥮍: yín
𥮎: mǎng
𥮏: diǎn
𥮐: diāo
𥮒: qián zhān
𥮕: hàng
𥮖: zhí
𥮗: jú
𥮘: niàn
𥮜: mí
𥮝: gǔ
𥮣: zhuā
𥮤: niè
𥮥: zhuó
𥮧: yè
𥮨: còng
𥮪: xū jí
𥮬: xì
𥮯: bō
𥮾: cǎn zān
𥯃: yǎn
𥯑: jǐn
𥯔: jǔ
𥯕: dàng
𥯖: dù
𥯘: yé
𥯙: jìng
𥯚: kè
𥯛: luò
𥯜: wěi
𥯝: tū
𥯞: yóu
𥯟: pài
𥯡: pí
𥯢: dìng
𥯤: wěi
𥯥: chè
𥯦: jiàn shà
𥯨: sī
𥯩: zhuó
𥯪: sòu
𥯬: ruǎn
𥯮: yú
𥯳: è
𥯶: kǔ
𥯸: zhù
𥯾: xiá
𥰛: fú
𥰜: táo
𥰝: xī
𥰞: chōu sǒu
𥰟: yuán
𥰠: lǘ
𥰡: cè
𥰢: shàn
𥰣: liú
𥰥: xì
𥰦: jī
𥰧: yǐ
𥰨: tán
𥰪: hú
𥰭: cuō zhǎ cī
𥰮: gě
𥰰: shì shé
𥰱: sāo
𥰲: hòng
𥰳: xiàn
𥰶: xiá
𥰻: mù
𥰼: suǒ
𥰾: zhài
𥱀: fū
𥱁: sè
𥱂: nú
𥱃: yì
𥱧: qín
𥱨: qìng
𥱵: huì suì xí
𥱶: shuǎng
𥱷: dǎn
𥱸: ōu
𥱹: mò
𥱺: qiān
𥱻: chì tú
𥱼: pái pì
𥱽: juàn
𥲀: cháo
𥲁: liè
𥲂: bīng
𥲃: kòu
𥲄: dàn
𥲅: chóu
𥲆: tōng
𥲇: dàn
𥲈: mǎn
𥲉: hù
𥲊: liáo
𥲋: xián
𥲍: cáo
𥲎: lù
𥲏: chuàn
𥲐: wú
𥲑: mán
𥲕: zǐ
𥲗: dù
𥲚: shuàng
𥲛: fù
𥲜: jù
𥲝: zhòu
𥲟: diào
𥲠: wàng
𥲡: chuāng
𥲢: qiān
𥲣: tuì
𥲥: lián
𥲦: biāo
𥲧: lí
𥲪: lí
𥳆: bì
𥳇: fù
𥳈: cuì
𥳉: dū
𥳋: zàn zān
𥳌: lóng
𥳍: xún
𥳎: qióng
𥳏: jī
𥳐: qiǎn
𥳒: jiǎn
𥳓: shāo
𥳔: duò
𥳕: shū
𥳖: bù
𥳗: xū
𥳘: dǒng
𥳚: rán
𥳜: yáng
𥳝: ruǐ
𥳞: lìn
𥳟: jiǎn
𥳠: dì
𥳡: fén
𥳢: diàn
𥳣: zuì
𥳥: nǐng
𥳪: suàn
𥳫: tiǎn
𥳬: àn
𥳯: cè
𥳰: dìng
𥳱: shēn
𥳲: dù
𥳳: tí
𥳴: jiǎo
𥳵: zuì
𥳶: zhǎng
𥳷: jiǎn
𥳸: dàn
𥳹: dǎn
𥳺: sǒng
𥴐: zhǎn
𥴑: tíng
𥴒: zhì
𥴕: yóu
𥴖: pái
𥴡: lǐ
𥴤: qián
𥴦: suì dí
𥴧: jǔ
𥴨: ài
𥴩: gé
𥴪: jù
𥴫: tún diàn
𥴬: bì
𥴭: qià
𥴮: bó
𥴯: huì
𥴱: jiàn
𥴴: gōu
𥴵: suàn
𥴺: cí
𥴻: qiàng
𥴿: yán
𥵏: diàn
𥵒: miè
𥵜: pò
𥵝: lǐng
𥵞: jié
𥵟: zhù
𥵠: gǔ
𥵣: duān
𥵤: zhào
𥵦: shǎo
𥵧: qǐn
𥵨: mí
𥵪: píng
𥵫: cóng
𥵬: chōu
𥵯: sà
𥵶: tiǎn
𥶅: liú
𥶆: lǘ
𥶇: lǔ
𥶈: zōu
𥶌: lǜ
𥶍: huǎn
𥶏: tiáo
𥶐: tuí
𥶑: qiǎng
𥶒: lìn
𥶓: bēi
𥶔: páo
𥶕: zhān
𥶗: lì
𥶛: tí
𥶜: hú
𥶢: liè
𥶵: huǐ
𥶶: qū
𥶷: xuǎn
𥶹: jìng
𥶺: dié
𥶻: suí
𥶽: wèi
𥶿: yán
𥷀: yān
𥷁: bàn
𥷃: jiǎng
𥷄: nǐ
𥷅: lì
𥷆: hú
𥷇: qì
𥷈: zhōng
𥷑: bì
𥷔: yú
𥷕: dié
𥷖: lìn
𥷗: lì
𥷘: zhuó
𥷙: jì
𥷚: jū
𥷜: fēng
𥷞: yù
𥷨: liè
𥷩: zá
𥷪: qián
𥷫: jiē
𥷬: guān
𥷮: zhuó zhāo
𥷱: fù
𥷹: sè
𥷼: cù
𥸃: huǐ
𥸈: dàng
𥸉: lóng
𥸊: yì
𥸗: sǎ
𥸘: yuè
𥸚: dí
𥸡: gǎn
𥸢: zān
𥸣: shàn
𥸤: yù
𥸥: bǒ
𥸧: dìng
𥸨: fán bǒ bǔ
𥸪: yù
𥸬: shēn
𥸲: gōng
𥸴: miè
𥸵: tún
𥸸: liè
𥹁: zhā zuò
𥹂: pēi
𥹄: mí
𥹆: míng
𥹇: fàn
𥹉: nà
𥹊: sì
𥹋: yí
𥹌: jiā
𥹍: zhù
𥹓: bān
𥹔: yù
𥹖: pǒ
𥹚: huān
𥹛: càn
𥹜: jiāo
𥹠: tán
𥹩: zhì
𥹫: mǐ
𥹬: kǎo
𥹱: yāo
𥹲: duì
𥹳: quǎn huán
𥹴: bù
𥹵: chù
𥹶: qiǎo
𥹷: liú
𥹸: bó
𥹺: kāng
𥹻: fèn
𥺅: dào
𥺉: dòu
𥺊: gé
𥺙: líng
𥺚: xí
𥺜: nì
𥺝: zhōu
𥺞: zhōu yù
𥺣: chōu
𥺴: niān
𥺵: jī
𥺷: qū
𥻄: kāi
𥻇: xiàn
𥻉: hé
𥻋: lín
𥻍: zī
𥻑: ǒu lì
𥻒: cù mì
𥻗: chá
𥻝: zhòng
𥻞: bú
𥻤: chōu
𥻥: xì
𥻦: sà
𥻧: xián jiān
𥻨: sè
𥻩: miàn
𥻫: fán
𥻬: zhī
𥻮: cuì
𥻴: xià
𥻾: nuò
𥻿: lí
𥼀: zú
𥼂: cuī
𥼃: zé
𥼅: lí
𥼘: qí
𥼚: zhuō
𥼛: cuì
𥼜: pū
𥼞: fán
𥼟: tán
𥼩: zī
𥼪: zǔ
𥼫: zhōu
𥼬: róng
𥼭: lín
𥼮: tán
𥼶: shì
𥼺: cuǐ
𥼻: zī
𥼼: fū
𥽁: xiào
𥽈: fēng lǐ
𥽏: xiàn
𥽐: jiàn
𥽒: fèn
𥽗: lì
𥽘: mò miè
𥽟: yōu
𥽥: huò
𥽧: qū
𥽬: niàng
𥽰: mí
𥽳: qì
𥽶: hé
𥽸: liàn
𥽿: zuò
𥾂: líng
𥾅: zhú
𥾇: niǎo
𥾊: jǐ
𥾋: réng
𥾌: jié
𥾍: gǎn
𥾐: yì
𥾓: zhóu
𥾕: wù
𥾚: gěng dǎn
𥾛: cù
𥾝: miè miǎn
𥾡: xún jī
𥾣: zhī
𥾤: xiáo
𥾧: fú
𥾨: hú
𥾬: dī
𥾮: jué
𥾯: diào
𥾹: shǒu
𥾼: wǎng
𥿃: nà
